folder,image,seed,auto_count
K0_incid,16,37,19
K0_incid,16,38,19
K0_incid,16,39,19
K0_incid,16,40,19
K0_incid,16,41,19
K0_incid,16,42,19
K0_incid,16,43,19
K0_incid,16,44,19
K0_incid,16,45,19
K0_incid,16,46,19
K0_incid,16,47,18
K0_incid,16,48,18
K0_incid,16,49,18
K0_incid,16,50,18
K0_incid,16,51,18
K0_incid,16,52,18
K0_incid,16,53,18
K0_incid,16,54,18
K0_incid,16,55,18
K0_incid,16,56,18
K0_incid,16,57,18
K0_incid,16,58,18
K0_incid,16,59,18
K0_incid,16,60,18
K0_incid,17,1,318
K0_incid,17,2,229
K0_incid,17,3,59
K0_incid,17,4,27
K0_incid,17,5,24
K0_incid,17,6,23
K0_incid,17,7,22
K0_incid,17,8,22
K0_incid,17,9,21
K0_incid,17,10,20
K0_incid,17,11,20
K0_incid,17,12,20
K0_incid,17,13,20
K0_incid,17,14,20
K0_incid,17,15,20
K0_incid,17,16,20
K0_incid,17,17,20
K0_incid,17,18,19
K0_incid,17,19,19
K0_incid,17,20,19
K0_incid,17,21,19
K0_incid,17,22,19
K0_incid,17,23,19
K0_incid,17,24,19
K0_incid,17,25,19
K0_incid,17,26,19
K0_incid,17,27,19
K0_incid,17,28,19
K0_incid,17,29,19
K0_incid,17,30,19
K0_incid,17,31,19
K0_incid,17,32,19
K0_incid,17,33,19
K0_incid,17,34,19
K0_incid,17,35,19
K0_incid,17,36,19
K0_incid,17,37,19
K0_incid,17,38,19
K0_incid,17,39,19
K0_incid,17,40,19
K0_incid,17,41,19
K0_incid,17,42,19
K0_incid,17,43,19
K0_incid,17,44,19
K0_incid,17,45,19
K0_incid,17,46,19
K0_incid,17,47,19
K0_incid,17,48,19
K0_incid,17,49,19
K0_incid,17,50,19
K0_incid,17,51,19
K0_incid,17,52,19
K0_incid,17,53,19
K0_incid,17,54,19
K0_incid,17,55,19
K0_incid,17,56,19
K0_incid,17,57,19
K0_incid,17,58,19
K0_incid,17,59,19
K0_incid,17,60,19
K0_incid,18,1,350
K0_incid,18,2,266
K0_incid,18,3,78
K0_incid,18,4,35
K0_incid,18,5,27
K0_incid,18,6,25
K0_incid,18,7,24
K0_incid,18,8,24
K0_incid,18,9,24
K0_incid,18,10,24
K0_incid,18,11,24
K0_incid,18,12,23
K0_incid,18,13,23
K0_incid,18,14,23
K0_incid,18,15,23
K0_incid,18,16,23
K0_incid,18,17,23
K0_incid,18,18,23
K0_incid,18,19,23
K0_incid,18,20,23
K0_incid,18,21,23
K0_incid,18,22,23
K0_incid,18,23,23
K0_incid,18,24,23
K0_incid,18,25,22
K0_incid,18,26,22
K0_incid,18,27,22
K0_incid,18,28,22
K0_incid,18,29,22
K0_incid,18,30,22
K0_incid,18,31,22
K0_incid,18,32,22
K0_incid,18,33,22
K0_incid,18,34,22
K0_incid,18,35,22
K0_incid,18,36,22
K0_incid,18,37,22
K0_incid,18,38,22
K0_incid,18,39,22
