folder,image,initial_radius,delta_radius,auto_withborder,auto_noborder
K0_incid,6,35,12,12,10
K0_incid,6,35,14,12,10
K0_incid,6,35,16,12,10
K0_incid,6,35,18,12,10
K0_incid,6,35,20,12,10
K0_incid,6,40,2,0,0
K0_incid,6,40,4,0,0
K0_incid,6,40,6,0,0
K0_incid,6,40,8,0,0
K0_incid,6,40,10,0,0
K0_incid,6,40,12,0,0
K0_incid,6,40,14,0,0
K0_incid,6,40,16,0,0
K0_incid,6,40,18,0,0
K0_incid,6,40,20,0,0
K0_incid,7,5,2,28,17
K0_incid,7,5,4,24,15
K0_incid,7,5,6,22,14
K0_incid,7,5,8,23,14
K0_incid,7,5,10,23,14
K0_incid,7,5,12,22,14
K0_incid,7,5,14,23,15
K0_incid,7,5,16,21,13
K0_incid,7,5,18,21,13
K0_incid,7,5,20,21,13
K0_incid,7,10,2,28,15
K0_incid,7,10,4,26,15
K0_incid,7,10,6,25,15
K0_incid,7,10,8,25,15
K0_incid,7,10,10,22,14
K0_incid,7,10,12,23,15
K0_incid,7,10,14,21,13
K0_incid,7,10,16,22,14
K0_incid,7,10,18,22,14
K0_incid,7,10,20,21,14
K0_incid,7,15,2,26,17
K0_incid,7,15,4,23,16
K0_incid,7,15,6,23,16
K0_incid,7,15,8,23,15
K0_incid,7,15,10,22,14
K0_incid,7,15,12,22,14
K0_incid,7,15,14,21,14
K0_incid,7,15,16,22,15
K0_incid,7,15,18,22,15
K0_incid,7,15,20,21,14
K0_incid,7,20,2,23,15
K0_incid,7,20,4,21,15
K0_incid,7,20,6,22,15
K0_incid,7,20,8,19,14
K0_incid,7,20,10,19,14
K0_incid,7,20,12,20,15
K0_incid,7,20,14,20,15
K0_incid,7,20,16,18,13
K0_incid,7,20,18,18,13
K0_incid,7,20,20,18,13
K0_incid,7,25,2,23,17
K0_incid,7,25,4,20,15
K0_incid,7,25,6,20,15
K0_incid,7,25,8,20,15
K0_incid,7,25,10,19,14
K0_incid,7,25,12,18,13
K0_incid,7,25,14,18,13
K0_incid,7,25,16,18,13
K0_incid,7,25,18,18,13
K0_incid,7,25,20,18,13
K0_incid,7,30,2,18,14
K0_incid,7,30,4,17,14
K0_incid,7,30,6,16,13
K0_incid,7,30,8,16,13
K0_incid,7,30,10,16,13
K0_incid,7,30,12,16,13
K0_incid,7,30,14,16,13
K0_incid,7,30,16,16,13
K0_incid,7,30,18,16,13
K0_incid,7,30,20,16,13
K0_incid,7,35,2,12,11
K0_incid,7,35,4,12,11
K0_incid,7,35,6,12,11
K0_incid,7,35,8,12,11
K0_incid,7,35,10,12,11
K0_incid,7,35,12,12,11
K0_incid,7,35,14,12,11
K0_incid,7,35,16,12,11
K0_incid,7,35,18,12,11
K0_incid,7,35,20,12,11
K0_incid,7,40,2,1,1
K0_incid,7,40,4,1,1
K0_incid,7,40,6,1,1
K0_incid,7,40,8,1,1
K0_incid,7,40,10,1,1
K0_incid,7,40,12,1,1
K0_incid,7,40,14,1,1
K0_incid,7,40,16,1,1
K0_incid,7,40,18,1,1
K0_incid,7,40,20,1,1
K0_incid,8,5,2,23,15
K0_incid,8,5,4,22,15
K0_incid,8,5,6,22,14
K0_incid,8,5,8,22,14
K0_incid,8,5,10,22,15
K0_incid,8,5,12,22,14
K0_incid,8,5,14,22,14
K0_incid,8,5,16,21,13
K0_incid,8,5,18,21,13
K0_incid,8,5,20,22,14
K0_incid,8,10,2,23,16
K0_incid,8,10,4,22,15
K0_incid,8,10,6,23,15
K0_incid,8,10,8,22,15
K0_incid,8,10,10,22,14
K0_incid,8,10,12,22,14
K0_incid,8,10,14,21,13
K0_incid,8,10,16,22,14
K0_incid,8,10,18,22,14
K0_incid,8,10,20,22,14
K0_incid,8,15,2,23,15
K0_incid,8,15,4,23,15
K0_incid,8,15,6,23,15
K0_incid,8,15,8,22,14
K0_incid,8,15,10,22,15
K0_incid,8,15,12,22,14
K0_incid,8,15,14,22,14
K0_incid,8,15,16,22,14
K0_incid,8,15,18,22,14
K0_incid,8,15,20,22,14
K0_incid,8,20,2,20,16
K0_incid,8,20,4,20,15
K0_incid,8,20,6,19,15
K0_incid,8,20,8,19,14
K0_incid,8,20,10,19,14
K0_incid,8,20,12,19,14
K0_incid,8,20,14,19,14
K0_incid,8,20,16,18,13
K0_incid,8,20,18,18,13
K0_incid,8,20,20,18,13
K0_incid,8,25,2,20,15
K0_incid,8,25,4,19,15
K0_incid,8,25,6,19,15
K0_incid,8,25,8,19,15
K0_incid,8,25,10,19,15
K0_incid,8,25,12,19,14
K0_incid,8,25,14,19,14
K0_incid,8,25,16,19,14
K0_incid,8,25,18,19,14
K0_incid,8,25,20,19,14
K0_incid,8,30,2,16,14
K0_incid,8,30,4,16,14
K0_incid,8,30,6,16,14
K0_incid,8,30,8,16,14
K0_incid,8,30,10,16,14
K0_incid,8,30,12,16,14
K0_incid,8,30,14,16,14
K0_incid,8,30,16,16,14
K0_incid,8,30,18,16,14
K0_incid,8,30,20,16,14
K0_incid,8,35,2,12,11
K0_incid,8,35,4,12,11
K0_incid,8,35,6,12,11
K0_incid,8,35,8,12,11
K0_incid,8,35,10,12,11
K0_incid,8,35,12,12,11
K0_incid,8,35,14,12,11
K0_incid,8,35,16,12,11
K0_incid,8,35,18,12,11
K0_incid,8,35,20,12,11
K0_incid,8,40,2,0,0
K0_incid,8,40,4,0,0
K0_incid,8,40,6,0,0
K0_incid,8,40,8,0,0
K0_incid,8,40,10,0,0
K0_incid,8,40,12,0,0
K0_incid,8,40,14,0,0
K0_incid,8,40,16,0,0
K0_incid,8,40,18,0,0
K0_incid,8,40,20,0,0
K0_incid,9,5,2,19,15
K0_incid,9,5,4,18,14
K0_incid,9,5,6,19,15
K0_incid,9,5,8,18,14
K0_incid,9,5,10,19,15
K0_incid,9,5,12,18,14
K0_incid,9,5,14,18,14
K0_incid,9,5,16,18,14
K0_incid,9,5,18,18,14
K0_incid,9,5,20,18,14
K0_incid,9,10,2,17,16
K0_incid,9,10,4,16,15
K0_incid,9,10,6,14,13
K0_incid,9,10,8,14,13
K0_incid,9,10,10,14,13
K0_incid,9,10,12,14,13
K0_incid,9,10,14,16,15
K0_incid,9,10,16,14,13
K0_incid,9,10,18,14,13
K0_incid,9,10,20,14,13
K0_incid,9,15,2,15,14
K0_incid,9,15,4,15,14
K0_incid,9,15,6,14,13
K0_incid,9,15,8,14,13
K0_incid,9,15,10,15,14
K0_incid,9,15,12,14,13
K0_incid,9,15,14,14,13
K0_incid,9,15,16,14,13
K0_incid,9,15,18,14,13
K0_incid,9,15,20,15,14
K0_incid,9,20,2,17,16
K0_incid,9,20,4,15,14
K0_incid,9,20,6,16,15
K0_incid,9,20,8,15,14
K0_incid,9,20,10,14,13
K0_incid,9,20,12,14,13
K0_incid,9,20,14,14,13
K0_incid,9,20,16,15,14
K0_incid,9,20,18,16,15
K0_incid,9,20,20,14,13
