folder,image,initial_radius,delta_radius,auto_count
K0_incid,8,25,14,19
K0_incid,8,25,16,19
K0_incid,8,25,18,19
K0_incid,8,25,20,19
K0_incid,8,30,2,16
K0_incid,8,30,4,16
K0_incid,8,30,6,16
K0_incid,8,30,8,16
K0_incid,8,30,10,16
K0_incid,8,30,12,16
K0_incid,8,30,14,16
K0_incid,8,30,16,16
K0_incid,8,30,18,16
K0_incid,8,30,20,16
K0_incid,8,35,2,12
K0_incid,8,35,4,12
K0_incid,8,35,6,12
K0_incid,8,35,8,12
K0_incid,8,35,10,12
K0_incid,8,35,12,12
K0_incid,8,35,14,12
K0_incid,8,35,16,12
K0_incid,8,35,18,12
K0_incid,8,35,20,12
K0_incid,8,40,2,0
K0_incid,8,40,4,0
K0_incid,8,40,6,0
K0_incid,8,40,8,0
K0_incid,8,40,10,0
K0_incid,8,40,12,0
K0_incid,8,40,14,0
K0_incid,8,40,16,0
K0_incid,8,40,18,0
K0_incid,8,40,20,0
K0_incid,9,5,2,16
K0_incid,9,5,4,15
K0_incid,9,5,6,16
K0_incid,9,5,8,15
K0_incid,9,5,10,16
K0_incid,9,5,12,15
K0_incid,9,5,14,15
K0_incid,9,5,16,15
K0_incid,9,5,18,15
K0_incid,9,5,20,15
K0_incid,9,10,2,17
K0_incid,9,10,4,16
K0_incid,9,10,6,14
K0_incid,9,10,8,14
K0_incid,9,10,10,14
K0_incid,9,10,12,14
K0_incid,9,10,14,16
K0_incid,9,10,16,14
K0_incid,9,10,18,14
K0_incid,9,10,20,14
K0_incid,9,15,2,15
K0_incid,9,15,4,15
K0_incid,9,15,6,14
K0_incid,9,15,8,14
K0_incid,9,15,10,15
K0_incid,9,15,12,14
K0_incid,9,15,14,14
K0_incid,9,15,16,14
K0_incid,9,15,18,14
K0_incid,9,15,20,15
K0_incid,9,20,2,17
K0_incid,9,20,4,15
K0_incid,9,20,6,16
K0_incid,9,20,8,15
K0_incid,9,20,10,14
K0_incid,9,20,12,14
K0_incid,9,20,14,14
K0_incid,9,20,16,15
K0_incid,9,20,18,16
K0_incid,9,20,20,14
K0_incid,9,25,2,14
K0_incid,9,25,4,13
K0_incid,9,25,6,13
K0_incid,9,25,8,13
K0_incid,9,25,10,14
K0_incid,9,25,12,13
K0_incid,9,25,14,13
K0_incid,9,25,16,13
K0_incid,9,25,18,13
K0_incid,9,25,20,13
K0_incid,9,30,2,16
K0_incid,9,30,4,15
K0_incid,9,30,6,14
K0_incid,9,30,8,15
K0_incid,9,30,10,13
K0_incid,9,30,12,13
K0_incid,9,30,14,13
K0_incid,9,30,16,13
K0_incid,9,30,18,13
K0_incid,9,30,20,13
K0_incid,9,35,2,13
K0_incid,9,35,4,13
K0_incid,9,35,6,13
K0_incid,9,35,8,13
K0_incid,9,35,10,13
K0_incid,9,35,12,13
K0_incid,9,35,14,13
K0_incid,9,35,16,13
K0_incid,9,35,18,13
K0_incid,9,35,20,13
K0_incid,9,40,2,1
K0_incid,9,40,4,1
K0_incid,9,40,6,1
K0_incid,9,40,8,1
K0_incid,9,40,10,1
K0_incid,9,40,12,1
K0_incid,9,40,14,1
K0_incid,9,40,16,1
K0_incid,9,40,18,1
K0_incid,9,40,20,1
K0_incid,10,5,2,20
K0_incid,10,5,4,18
K0_incid,10,5,6,18
K0_incid,10,5,8,18
K0_incid,10,5,10,18
K0_incid,10,5,12,17
K0_incid,10,5,14,17
K0_incid,10,5,16,17
K0_incid,10,5,18,17
K0_incid,10,5,20,17
K0_incid,10,10,2,16
K0_incid,10,10,4,15
K0_incid,10,10,6,14
K0_incid,10,10,8,14
K0_incid,10,10,10,14
K0_incid,10,10,12,14
K0_incid,10,10,14,14
K0_incid,10,10,16,14
K0_incid,10,10,18,14
K0_incid,10,10,20,14
K0_incid,10,15,2,15
K0_incid,10,15,4,15
K0_incid,10,15,6,15
K0_incid,10,15,8,15
K0_incid,10,15,10,15
K0_incid,10,15,12,15
K0_incid,10,15,14,15
K0_incid,10,15,16,15
K0_incid,10,15,18,15
K0_incid,10,15,20,15
K0_incid,10,20,2,12
K0_incid,10,20,4,12
K0_incid,10,20,6,12
K0_incid,10,20,8,12
K0_incid,10,20,10,12
K0_incid,10,20,12,12
K0_incid,10,20,14,12
K0_incid,10,20,16,12
K0_incid,10,20,18,12
K0_incid,10,20,20,12
K0_incid,10,25,2,12
K0_incid,10,25,4,12
K0_incid,10,25,6,12
K0_incid,10,25,8,12
K0_incid,10,25,10,12
K0_incid,10,25,12,12
K0_incid,10,25,14,12
K0_incid,10,25,16,12
