Id,Label,isseed,seedrank,publishedat,duration,channeltitle,channelid,videocategorylabel,viewcount,likecount,dislikecount,dislikelikeratio,favoritecount,commentcount,componentnumber,hasmisinformation,misinformationcode,brandad
7F3krddfZWo,NOVAS SALAS DE VACINAS,no,,1389811170,00:02:01,TV Poços,UCh6e1_rbI_pUASvnLV_nyxQ,News & Politics,14521,41,4,0.097561,0,3,0,N,,
yLpVxzmlj0o,Febre amarela- Tive reações da vacina,no,,1516828976,00:01:47,Paulo Andrady,UCDgyuBDJGp5TlDMubeI-QdQ,People & Blogs,14346,114,16,0.140351,0,158,0,N,,
X7NryYy5z2o,VACINA DE 2 MESES #VLOG REAÇÕES  DICAS  CUIDADOS,no,,1533330003,00:07:53,Priscila Faria,UCpvhFBKf_dacTd8NFRgcTxQ,People & Blogs,14336,400,19,0.0475,0,48,0,N,,Jeep; Lecturio
Xo9MCcjFyIc,Uma direita anti-científica  anti-vacina e anti-razão.,no,,1565218172,00:14:05,conde loppeux,UC-aa1wREP4i9XRA5_rqed0A,Entertainment,14314,1912,214,0.111925,0,799,0,N,,
FJss0otJi-U,Vacina da Gripe 2018 - informações importantes em 2 minutos,no,,1523589465,00:02:14,Otorrino Experts,UCGD5wBPI0T6J1IiJqcHnIMQ,People & Blogs,14012,165,19,0.115152,0,23,0,N,,Groover
MeC4j-9DiS4,Entenda quais são as vacinas específicas para adultos,no,,1511370823,00:02:51,Balanço Geral,UCqZN-NqgP7bhbctbyThSVUA,News & Politics,13998,209,8,0.038278,0,14,0,N,,My Commerce
clP6AmsREjQ,Dr. Sproesser tira dúvidas sobre vacina  prevenção e tratamento da gripe,no,,1522857342,00:18:48,Hoje em Dia,UCN-opsqqDunWO6h5uCp9Y4g,Entertainment,13657,293,48,0.163823,0,27,0,N,,Grosz; Mike Harhang
2TUkO_KU--I,#31 - Reação da vacina 😭,no,,1532560660,00:10:26,Pai_xao Vlogs,UCXQatvGsVCzrm35PnxoHJsA,People & Blogs,13515,2122,26,0.012253,0,,0,N,,Red Bull; Voltaren; Red Bull
a4CkTZdZFgE,#1 - Período da Campanha Nacional de Vacinação contra Sarampo e Poliomielite,no,,1533045170,00:01:00,Ministério da Saúde,UC12zKGLhMhDeDidoctM6BrA,Nonprofits & Activism,13481,128,8,0.0625,0,13,0,N,,
0DuHI0E6Bc4,#6 Qual a importância da Vacinação Infantil?,no,,1533155035,00:01:00,Ministério da Saúde,UC12zKGLhMhDeDidoctM6BrA,Nonprofits & Activism,13382,147,5,0.034014,0,2,0,N,,
4HYYM5u95EQ,Como funcionam as vacinas,no,,1516806226,00:03:43,DECO PROTESTE,UCOjnB2Ul08J7jM9npAvo6EA,News & Politics,13363,78,8,0.102564,0,0,0,N,,
3SpiKe04erk,A IMPORTÂNCIA DA VACINAÇÃO | com Drauzio Varella,no,,1562860801,00:04:14,Tua Saúde,UCUp-GSUuNxSZ7cxOg7ZnyqA,Science & Technology,13106,871,42,0.04822,0,107,0,N,,
xOgEVpswgEc,Ministério da Saúde reforça recomendação de vacina contra febre amarela e sarampo,no,,1550222979,00:01:16,Jovem Pan News,UCP391YRAjSOdM_bwievgaZA,News & Politics,13086,95,7,0.073684,0,10,0,N,,
0N2rqAHsxcs,🔴 Conheça A VACINA CONTRA O CÂNCER!!! E A Dieta Da Sua Cura!!! Lair Ribeiro Responde,no,,1545482682,00:14:56,SAÚDE & BEM ESTAR,UCe1XNXkGImWSq5n4wkzNjBw,People & Blogs,12978,1198,12,0.010017,0,50,0,Y,L,DG Achieve; Patrick van Diemen
tD6EYsXAS6A,vacina da gripe para toda a população a partir de segunda-feira - oi????,no,,1496455134,00:06:21,Ana Paula Palagar,UCLr31O2rNob_pzh1UnPcNOg,Entertainment,12771,1174,31,0.026405,0,206,0,Y,E; N; O,Lecturio; Happn
xWV2ndHVPOw,Alumínio presente em vacinas causa autismo? | Drauzio News #26,yes,3,1557928809,00:02:04,Drauzio Varella,UC9zqTTVeClpqMQ5CLuJdWtw,Science & Technology,12757,1800,83,0.046111,0,183,0,N,,Cool Blue
